"","class","営業利益率.2007","経常利益率.2007","純利益率.2007","営業利益率.2008","経常利益率.2008","純利益率.2008","営業利益率.2009","経常利益率.2009","純利益率.2009","営業利益率.2010","経常利益率.2010","純利益率.2010","営業利益率.2011","経常利益率.2011","純利益率.2011"
"国際石油開発帝石株式会社","neg",0.593708877648144,0.570090567888509,0.144014996280025,0.616324277712319,0.572557714251731,0.134795440100208,0.549324331560028,0.525955258457903,0.127566106276928,0.56171480680324,0.539282987657463,0.136466683632354,0.597740347222749,0.646345296448816,0.163474283557099
"キリンホールディングス株式会社","pos",0.0669611429053656,0.0685051444510328,0.0370388260036288,0.0633699272737218,0.0447414425181099,0.0348077266189986,0.0563688926750504,0.0634697009795596,0.021581120338051,0.0696169807907239,0.0647299433098142,0.00523188058418534,0.0689573283572436,0.0660390563835631,0.00357519690854311
"日本たばこ産業株式会社","pos",0.081907183902056,0.0771948978244707,0.0569526087590937,0.0771488328781644,0.0737042408003121,0.041239869117463,0.0798220255337724,0.0787302682283522,0.0523035056078618,0.24747748421092,0.244002018012631,0.0429975495560906,0.273567087856612,0.269520289780134,0.194210928804113
"株式会社セブン＆アイ・ホールディングス","pos",0.0488645419157804,0.0483732680248495,0.0227135077025349,0.0498880697663058,0.0494351452438146,0.0163428052789158,0.0443460828044232,0.0444016460010052,0.00877957199513157,0.0475309385888617,0.0474451920302969,0.0218684975933343,0.0610194336219879,0.0612515523330542,0.0271265500348491
"信越化学工業株式会社","pos",0.208625770508383,0.217994658389786,0.133380413902136,0.193974415666719,0.208636149009046,0.128855200601592,0.127847152765432,0.138540438485794,0.091457914547515,0.141006390697156,0.15151140034982,0.0946074535769666,0.142815283694002,0.157709373875546,0.0960580530689652
"武田薬品工業株式会社","neg",0.300191810842242,0.305448682756967,0.195604484250672,0.278838640443255,0.308499574981209,0.171052044494834,0.283796402514569,0.295029367228009,0.236729683843436,0.216676365450162,0.230300583114616,0.161319667945323,0.214222219027492,0.541129353019259,0.446291397710337
"アステラス製薬株式会社","pos",0.283680826168586,0.292203465811764,0.18243836534764,0.259288100420628,0.281093053936117,0.177059494790297,0.19121078864308,0.195907791444459,0.12540761552483,0.124933565491584,0.120612570719338,0.0709158894571711,0.135672337260557,0.13937364540684,0.0807004839140611
"第一三共株式会社","pos",0.178188201608872,0.192085170204063,0.110962141526156,0.105527894773715,0.0655087532224184,-0.25565726648673,0.100313515841215,0.108301080237999,0.0439573366382909,0.126263613010601,0.136207119339649,0.0724866001974436,0.1046174562709,0.0811961942180324,0.0110613128903766
"ヤフー株式会社","pos",0.476313509676484,0.463734653299087,0.238971556366329,0.506551171384062,0.500131700745802,0.281143463503842,0.513925018580984,0.51226344977417,0.298449917100223,0.545798381112293,0.547898079152461,0.315207764095163,0.546211699902015,0.553812134212547,0.332879823097905
"株式会社ブリヂストン","pos",0.0737300669160508,0.064602335307051,0.0388264117528725,0.0406720865197772,0.0230298926695946,0.00321913922344295,0.0291532313028638,0.020969179076489,0.000401616941380869,0.0581664549563795,0.0516858487252828,0.0345654464349677,0.0632601000874567,0.0592909893183836,0.0340469290146163
"旭硝子株式会社","neg",0.117444407038147,0.111749793901875,0.0414182881900124,0.106633792996967,0.0759916278767057,0.0271256240839096,0.0754939479079392,0.0759511861194672,0.0174055345854983,0.177823448132468,0.175962238943882,0.0955694842379089,0.136384966476547,0.13727080232359,0.0784491615843619
"株式会社小松製作所","neg",0.148393485042284,0.143649886782258,0.0930855367956548,0.0751569314200667,0.0636985017383515,0.0389747856181523,0.0468264080404369,0.0453902165743201,0.0234421932934888,0.120951513379165,0.119258738003404,0.08179143379702,0.129350986974729,0.125953002452866,0.0842890900677831
"株式会社クボタ","pos",0.118550218522156,0.10616643021582,0.0589187007502334,0.092836723305661,0.0751786485017364,0.0433993509601059,0.0748965232677587,0.0789593013010346,0.0454803340482505,0.0922270358846934,0.0977845847368224,0.0587157338931224,0.104839293703789,0.100135017296301,0.0610623410868248
"株式会社日立製作所","neg",0.0307761784704101,0.0289293369799857,-0.00517291982041083,0.0127141308485717,-0.0289718309394383,-0.0787233951067206,0.0225408890136707,0.00708922048233905,-0.0119126333298619,0.0477154582528384,0.0463943703427948,0.0256412568444151,0.0426531130161621,0.0577008846475795,0.0359179807990641
"三菱電機株式会社","neg",0.0651920654212115,0.0559560948171004,0.0390084196376232,0.0381237280426638,0.0294473385448058,0.00331967393146034,0.0281221651043242,0.0191629255735697,0.00843289203643696,0.0641261383397008,0.0576729520584002,0.034160135252464,0.0619442182209048,0.0615694381706337,0.0307910386902701
"富士通株式会社","neg",0.0384532341374242,0.0305436359765254,0.00902423903062636,0.0146541938818975,0.00320733621692435,-0.023910550861913,0.0201672436846608,0.0152036993545704,0.0198920017206897,0.0292805082584265,0.023824061672929,0.0121658729729342,0.023570734362766,0.0203949615607934,0.0095593268292814
"三菱重工業株式会社","pos",0.0424684327765264,0.0341870415552506,0.0191477903333817,0.0313593670478844,0.0223084338120328,0.00717397473808194,0.0223265973837145,0.00816386348744443,0.00481589398028554,0.0348577883234554,0.0234567476074207,0.01037168921781,0.0396893650750887,0.0305508959450281,0.00869925258744273
"本田技研工業株式会社","pos",0.079406996714276,0.0746357901808856,0.0499914436873825,0.0189430061667679,0.0161552398948342,0.0136851165604744,0.0424021007150572,0.039187688698236,0.031285063107474,0.0637555644500472,0.0705558223032747,0.0597623305796092,0.0291093652000888,0.03238549614719,0.0266078852857194
"スズキ株式会社","pos",0.0426576603199103,0.0447987519482963,0.0229138775229349,0.0256002885964469,0.0265151313459936,0.00912812723802018,0.0321449877949651,0.0380067256283051,0.0117101102726014,0.0409988892795346,0.0469677177934198,0.0173198779089317,0.0474901141874049,0.0519678877280584,0.0214502429358336
"キヤノン株式会社","neg",0.184853624348664,0.191433464731612,0.127072085298998,0.131824185419541,0.131963835133957,0.0823694440544869,0.0482719227309575,0.0704422412524821,0.0398796176438353,0.103737824459883,0.118574407121491,0.0658157833065679,0.114273311081615,0.130535392635459,0.0801584833287978
"伊藤忠商事株式会社","neg",0.0214053091127251,0.02264555080648,0.0175413798681747,0.0219079561300458,0.0165509719358751,0.0131441061014433,0.0143025977318467,0.0150372584155372,0.0124338312991259,0.0224953798558908,0.0160030417118968,0.014140765539623,0.022759535679425,0.0284827299020326,0.0250875000709618
"丸紅株式会社","pos",0.0188262066651015,0.0203352905146311,0.013850105195673,0.0223727299777377,0.0192023239767056,0.0106296394393192,0.0149309703448375,0.0208946454230385,0.0119662701638595,0.0161603588638638,0.0229718679784685,0.0151367977803369,0.0148629212841965,0.0246573421829669,0.0162621512636577
"三井物産株式会社","neg",0.0220369666605836,0.0236347037719201,0.0241083926115594,0.0257149419221165,0.0161133834052486,0.0115720528996591,0.0154420973974232,0.0134681444297137,0.0159983903195201,0.0318837206682604,0.0274274848347574,0.0308433355406985,0.0332390499301318,0.0394241442221218,0.0414550251374704
"三菱商事株式会社","neg",0.0153704860437649,0.0239167195420967,0.02038082169522,0.0263027944307195,0.0173400418346353,0.0165230372774185,0.010656336495431,0.0174165816999831,0.0160702510269967,0.0164370466587807,0.0277795816380874,0.0240824276755857,0.0134710163869492,0.0228044658534463,0.0225500229276876
"イオン株式会社","pos",0.0301972029850411,0.0321877722615352,0.00850181697986943,0.0237771149498374,0.0240938933460478,-0.000504704264330447,0.0257583797385008,0.0257593689767755,0.00615761256443403,0.033818829883398,0.0357259952725059,0.0117114082042252,0.0380288948995127,0.0406368027838105,0.012779169819181
"株式会社三菱ＵＦＪフィナンシャル・グループ","neg",0.974803711360768,0.943167390962476,0.799505586602893,0.946168295014071,0.81078094302554,0.995553018637498,0.943202761807829,0.810964707176849,0.344153164800704,0.964084610902515,0.894516828614326,0.833950257609203,0.944571025379069,0.863020645758763,0.876239370263934
"三井不動産株式会社","pos",0.13182277064432,0.119729592808357,0.0642474428741279,0.120897568263745,0.102956774223102,0.0588972793166754,0.0870771790416853,0.0678080539801243,0.0433880269149614,0.0854583713153852,0.0684594906740275,0.0355156201410548,0.0941916236579872,0.0766077623379982,0.037462764423041
"三菱地所株式会社","neg",0.225966543600473,0.205752032623544,0.110407895872797,0.147001037527079,0.115235522890309,0.0481877223840632,0.146999995066187,0.115827178401741,0.0117424747018744,0.160107724541629,0.132359145204548,0.0649695937162033,0.144411683705651,0.119108372677478,0.0557829723345596
"住友不動産株式会社","pos",0.22344376871582,0.180908996311755,0.0912407071255969,0.210526164383759,0.163369718902421,0.0664591600873944,0.186176325498343,0.139604104858713,0.0731787642346467,0.185915924141598,0.142724597049235,0.068355273404981,0.214132622389503,0.15669806087747,0.0773035248060732
"東日本旅客鉄道株式会社","pos",0.188202546555271,0.133402463114649,0.0824173132220556,0.18591412709296,0.132679267838346,0.0800324677799978,0.150128123950892,0.0947442620442888,0.0531613469375614,0.153547882328966,0.106543283601661,0.0324724674627887,0.16121025850951,0.114281957154239,0.042449611993644
"西日本旅客鉄道株式会社","pos",0.1065060184934,0.0843728443097528,0.0447275207527573,0.0960701258049036,0.0743741903916544,0.0427575142632211,0.0643036294201918,0.0404206245509963,0.0208867061299769,0.0790997325105933,0.0568262538462933,0.028828040405239,0.0852689218353332,0.0640361456543129,0.0229008937786514
"東海旅客鉄道株式会社","pos",0.327304110379736,0.203256145113642,0.122064212691259,0.291770702155962,0.161230233257034,0.0978364646706355,0.239632931608249,0.129716962577241,0.0772782462676456,0.277717099144147,0.177120647137628,0.104989205839939,0.291710036578458,0.202516172439613,0.101991681418768
"日本電信電話株式会社","pos",0.558726323464451,0.579333358169635,0.521117952921015,0.531489255248667,0.540022377453204,0.538771549295,0.563366718027735,0.568667285813792,0.569226628954978,0.598089519510827,0.583639237344796,0.578177794058503,0.626436725723954,0.630399268752796,0.625491063614617
"ＫＤＤＩ株式会社","neg",0.109242691010966,0.112003469270973,0.0625275918711672,0.129457542726701,0.1308137539473,0.0685632053394504,0.128941219992732,0.127823309035118,0.066841110599384,0.136446066608852,0.134744748055113,0.081823545866465,0.132101800621713,0.132754000566971,0.0763199182779722
"株式会社NTTドコモ","pos",0.171549592122122,0.169931536111152,0.10424873408977,0.186817161947671,0.175466841127883,0.106087032765435,0.194716698051818,0.195162967824696,0.115484207371667,0.199970267073174,0.197747162647869,0.116111103614752,0.20624042011291,0.206829570639455,0.109413130132219
"ソフトバンク株式会社","neg",0.116811014319018,0.093155025200204,0.0391273150616245,0.134349531525027,0.084421266463028,0.0161509295613413,0.168585795934437,0.123397358187686,0.0349988383900158,0.209397132435167,0.173203445337877,0.0631396772991107,0.210865482047255,0.179129631046376,0.0979729487093415
